""
"Fecha: 20161222071243, Artículo: https://web.archive.org/web/20161222071243/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161222071243, Artículo: https://web.archive.org/web/20161222071243/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161222071243, Artículo: https://web.archive.org/web/20161222071243/https://www.elmundo.es/sociedad/2016/12/21/585acadf468aebb9758b4597.html"
"Fecha: 20161223080506, Artículo: https://web.archive.org/web/20161223080506/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20161223080506, Artículo: https://web.archive.org/web/20161223080506/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161223080506, Artículo: https://web.archive.org/web/20161223080506/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161229043201, Artículo: https://web.archive.org/web/20161229043201/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20161229043201, Artículo: https://web.archive.org/web/20161229043201/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161229043201, Artículo: https://web.archive.org/web/20161229043201/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161230024004, Artículo: https://web.archive.org/web/20161230024004/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20161230024004, Artículo: https://web.archive.org/web/20161230024004/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161230024004, Artículo: https://web.archive.org/web/20161230024004/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20161231034852, Artículo: https://web.archive.org/web/20161231034852/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20161231034852, Artículo: https://web.archive.org/web/20161231034852/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20161231034852, Artículo: https://web.archive.org/web/20161231034852/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
"Fecha: 20170103074621, Artículo: https://web.archive.org/web/20170103074621/https://www.elmundo.es/sociedad/2016/12/18/5856a4e346163f020a8b4665.html"
"Fecha: 20170103074621, Artículo: https://web.archive.org/web/20170103074621/https://www.elmundo.es/baleares/2016/11/18/582ec49be5fdea97278b45e2.html"
"Fecha: 20170103074621, Artículo: https://web.archive.org/web/20170103074621/https://www.elmundo.es/sociedad/2016/10/23/580c9ba0e5fdea133f8b4574.html"
